Units,scenario,region,sector,subsector,year,value
MTC,Ref_cities,KualaLumpur,comm others,gas,1990,0.000455813
MTC,Ref_cities,KualaLumpur,comm others,gas,2005,0.00218538
MTC,Ref_cities,KualaLumpur,comm others,gas,2010,0.00284568
MTC,Ref_cities,KualaLumpur,comm others,gas,2015,0.00228336
MTC,Ref_cities,KualaLumpur,comm others,gas,2020,0.00231551
MTC,Ref_cities,KualaLumpur,comm others,gas,2025,0.00258554
MTC,Ref_cities,KualaLumpur,comm others,gas,2030,0.00277788
MTC,Ref_cities,KualaLumpur,comm others,gas,2035,0.00286234
MTC,Ref_cities,KualaLumpur,comm others,gas,2040,0.00290539
MTC,Ref_cities,KualaLumpur,comm others,gas,2045,0.00295979
MTC,Ref_cities,KualaLumpur,comm others,gas,2050,0.00307628
MTC,Ref_cities,KualaLumpur,comm others,gas,2055,0.0031845
MTC,Ref_cities,KualaLumpur,comm others,gas,2060,0.00317829
MTC,Ref_cities,KualaLumpur,comm others,gas,2065,0.00316435
MTC,Ref_cities,KualaLumpur,comm others,gas,2070,0.00299173
MTC,Ref_cities,KualaLumpur,comm others,gas,2075,0.00290929
MTC,Ref_cities,KualaLumpur,comm others,gas,2080,0.00307851
MTC,Ref_cities,KualaLumpur,comm others,gas,2085,0.00311606
MTC,Ref_cities,KualaLumpur,comm others,gas,2090,0.00300946
MTC,Ref_cities,KualaLumpur,comm others,gas,2095,0.00279684
MTC,Ref_cities,KualaLumpur,comm others,gas,2100,0.00254066
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,1990,0.0314575
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2005,0.0991484
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2010,0.163164
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2015,0.102677
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2020,0.0825856
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2025,0.0847706
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2030,0.0802455
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2035,0.0742992
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2040,0.0689352
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2045,0.063644
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2050,0.0615555
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2055,0.0584499
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2060,0.0527882
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2065,0.0482662
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2070,0.0418371
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2075,0.0372623
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2080,0.0364217
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2085,0.034518
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2090,0.0317824
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2095,0.0282296
MTC,Ref_cities,KualaLumpur,comm others,refined liquids,2100,0.0245941
MTC,Ref_cities,KualaLumpur,industrial energy use,biomass,1975,0.0693547
MTC,Ref_cities,KualaLumpur,industrial energy use,biomass,1990,0.109326
MTC,Ref_cities,KualaLumpur,industrial energy use,biomass,2005,0.125598
MTC,Ref_cities,KualaLumpur,industrial energy use,biomass,2010,0.0430445
MTC,Ref_cities,KualaLumpur,industrial energy use,biomass,2015,0.0010971
MTC,Ref_cities,KualaLumpur,industrial energy use,biomass,2020,0.00120178
MTC,Ref_cities,KualaLumpur,industrial energy use,biomass,2025,0.00129807
