"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",1975,"Vint_1975","billion m^2",0.05124
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",1990,"Vint_1990","billion m^2",0.082474
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2005,"Vint_2005","billion m^2",0.128453
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2010,"Vint_2010","billion m^2",0.14104
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2015,"Vint_2015","billion m^2",0.151355
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2020,"Vint_2020","billion m^2",0.1645
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2025,"Vint_2025","billion m^2",0.1787
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2030,"Vint_2030","billion m^2",0.1917
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2035,"Vint_2035","billion m^2",0.204
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2040,"Vint_2040","billion m^2",0.2162
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2045,"Vint_2045","billion m^2",0.2283
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2050,"Vint_2050","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2055,"Vint_2055","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2060,"Vint_2060","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2065,"Vint_2065","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2070,"Vint_2070","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2075,"Vint_2075","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2080,"Vint_2080","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2085,"Vint_2085","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2090,"Vint_2090","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2095,"Vint_2095","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","comm","Year",2100,"Vint_2100","billion m^2",0.2399
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",1975,"Vint_1975","billion m^2",0.0490284
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",1990,"Vint_1990","billion m^2",0.0862042
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2005,"Vint_2005","billion m^2",0.157818
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2010,"Vint_2010","billion m^2",0.277078
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2015,"Vint_2015","billion m^2",0.397043
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2020,"Vint_2020","billion m^2",0.4479
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2025,"Vint_2025","billion m^2",0.5009
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2030,"Vint_2030","billion m^2",0.5464
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2035,"Vint_2035","billion m^2",0.5879
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2040,"Vint_2040","billion m^2",0.628
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2045,"Vint_2045","billion m^2",0.6659
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2050,"Vint_2050","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2055,"Vint_2055","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2060,"Vint_2060","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2065,"Vint_2065","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2070,"Vint_2070","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2075,"Vint_2075","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2080,"Vint_2080","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2085,"Vint_2085","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2090,"Vint_2090","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2095,"Vint_2095","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid rural","Year",2100,"Vint_2100","billion m^2",0.7003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",1975,"Vint_1975","billion m^2",0.01994634
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",1990,"Vint_1990","billion m^2",0.03461619
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2005,"Vint_2005","billion m^2",0.08253786
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2010,"Vint_2010","billion m^2",0.161283
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2015,"Vint_2015","billion m^2",0.2403479
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2020,"Vint_2020","billion m^2",0.2712
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2025,"Vint_2025","billion m^2",0.3032
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2030,"Vint_2030","billion m^2",0.3308
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2035,"Vint_2035","billion m^2",0.356
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2040,"Vint_2040","billion m^2",0.3802
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2045,"Vint_2045","billion m^2",0.4031
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2050,"Vint_2050","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2055,"Vint_2055","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2060,"Vint_2060","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2065,"Vint_2065","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2070,"Vint_2070","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2075,"Vint_2075","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2080,"Vint_2080","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2085,"Vint_2085","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2090,"Vint_2090","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2095,"Vint_2095","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","nodeinput","resid urban","Year",2100,"Vint_2100","billion m^2",0.424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",1.00798166666667
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",0.685610916666672
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",1.20454050000001
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",1.0256561888889
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",5.72060115077977
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",7.207717560297
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",8.99710403407868
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",13.8434490341501
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","biomass","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",21.5706305545424
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",2.93176972222225
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",19.9905833333335
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",42.8382250000003
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",63.4380000000005
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",62.411105555556
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",61.1813111111116
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",58.5006638888893
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",54.5096436944449
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",28.4047156111113
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Fuel","coal","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",22.7808988194446
